asset_id,scene,method,variant,role,status,training_commit,patch_stack,dataset_protocol,seed,checkpoint_step,checkpoint_sha256,checkpoint_bytes,gaussian_count,training_seconds,local_checkpoint_container,server_checkpoint_path,evaluation_evidence,notes
android-b1-30k,android,B1,gsplat153-absgrad,frozen_anchor,FROZEN_CHECKPOINT_LOCAL,9e29230952be700dc5b527008e2f60f05b82717d,B1 default+AbsGrad,android-colmap-factor4-keyword-v1,42,29999,9ea312974862c3cd3b4fdfea07be90b7e3aeb799a8e31ae59902fbc8cfb9db7c,287546594,1218407,614.4800188541412,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-rerun-9e292309/android_b1_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/android_b1_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
android-ru-30k,android,RU,original-GS-RU,frozen_anchor,FROZEN_CHECKPOINT_LOCAL,9e29230952be700dc5b527008e2f60f05b82717d,PURI-GS-RU original mask+delayed densification,android-colmap-factor4-keyword-v1,42,29999,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a,130108706,551297,633.9885854721069,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-rerun-9e292309/android_ru_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/android_ru_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
garden-b1-30k,garden,B1,gsplat153-absgrad,frozen_registration_only,FROZEN_CHECKPOINT_LOCAL,9e29230952be700dc5b527008e2f60f05b82717d,B1 default+AbsGrad,garden-colmap-factor4-every8-v1,42,29999,06e7911a76285db4c4c545cbfa1bdfccf3690764597fe73671f265f305afd35a,896449250,3798503,1631.61976480484,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-rerun-9e292309/garden_b1_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/garden_b1_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
garden-ru-30k,garden,RU,original-GS-RU,frozen_registration_only,FROZEN_CHECKPOINT_LOCAL,9e29230952be700dc5b527008e2f60f05b82717d,PURI-GS-RU original mask+delayed densification,garden-colmap-factor4-every8-v1,42,29999,e198d8af74eaed8c8b7da8d97e75b891102b2f4cbb5b548c7dc23207cae915a9,536713186,2274197,1347.4549956321716,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-rerun-9e292309/garden_ru_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/garden_ru_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
patio_high-b1-30k,patio_high,B1,gsplat153-absgrad,frozen_anchor,FROZEN_CHECKPOINT_LOCAL,749d584bd4741ec9619b158942da93b872e87029,B1 default+AbsGrad,patio-high-internal-factor4-v1,42,29999,31f618c78c6444b69b499d3b616f09382dba0e76e6c96952ccb5806ea3873503,763625506,3235690,1109.4157421588898,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-ontogo-749d584b/patio_high_b1_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-ontogo-749d584b/patio_high_b1_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
patio_high-ru-30k,patio_high,RU,original-GS-RU,frozen_anchor,FROZEN_CHECKPOINT_LOCAL,749d584bd4741ec9619b158942da93b872e87029,PURI-GS-RU original mask+delayed densification,patio-high-internal-factor4-v1,42,29999,b3c9fca6ed4470c8a66aba31e2917bf52baa9fed6d2f12a99589ff4fbddce1ae,102846370,435779,551.6290900707245,E:\6-Project\1-UncertainNerf\PURI-GS-RU\server-artifacts\puri_gs_ru_artifacts_749d584b.tar::logs-puri/ru-generalization-ontogo-749d584b/patio_high_ru_30k/ckpts/ckpt_29999_rank0.pt,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-ontogo-749d584b/patio_high_ru_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
room-b1-30k,room,B1,gsplat153-absgrad,frozen_anchor,FROZEN_EVAL_ONLY_CHECKPOINT_SERVER_UNVERIFIED,da5089cd34bad85780e974f732c2bc722b05c77f,B1 default+AbsGrad,room-colmap-factor4-every8-historical-v1,42,29999,,,1301078,,,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/phase_r/room_b1_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_b1_30k\independent_eval,Room checkpoint hash/bytes and absolute training seconds are absent from local evidence; server SSH authentication was unavailable.
room-ru-30k,room,RU,original-GS-RU,frozen_anchor,FROZEN_EVAL_ONLY_CHECKPOINT_SERVER_UNVERIFIED,da5089cd34bad85780e974f732c2bc722b05c77f,PURI-GS-RU original mask+delayed densification,room-colmap-factor4-every8-historical-v1,42,29999,,,708337,,,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/phase_r/room_ru_30k/ckpts/ckpt_29999_rank0.pt,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_ru_30k\independent_eval,Room checkpoint hash/bytes and absolute training seconds are absent from local evidence; server SSH authentication was unavailable.
android-b1-10k-historical,android,B1,gsplat153-absgrad-historical-10k,historical_reference_not_p02_anchor,REPORTED_ONLY_CHECKPOINT_NOT_LOCAL,32a7d787d6886d847061a853c66f7de90f2eebe4,configs/puri_gs_b1_absgrad.yaml,android-colmap-factor4-keyword-v1,42,9999,,,,,,,android_ru_pairing_audit.json historical_b1_protocol_difference,"Reported PSNR 24.312067; different 10k budget, never substitute for the selected paired 30k B1."
android-phase-r-original-pair,android,B1/RU,original-Phase-R-pair,historical_result_not_p02_anchor,REPORTED_ONLY_CHECKPOINT_IDENTITY_INCOMPLETE_LOCAL,,original Phase-R,android-colmap-factor4-keyword-v1,42,29999,,,,,,"/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/phase_r/android_{b1,ru}_30k/ckpts/ckpt_29999_rank0.pt",reports/phase_r_puri_gs_ru.json,"Preserve reported delta PSNR +1.206509, but do not mix it with rerun checkpoints or strict timing."
