seq,scene,view,condition,kind,planned,actual_success,charged,status,seconds
1,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.039091
2,android,2clutter019.JPG,geometry,fine_forward,1,0,1,FAILED_CHARGED:RuntimeError,1.051724
3,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.040261
4,android,2clutter019.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.326548
5,android,2clutter019.JPG,geometry,exact_probe_forward,1,0,1,FAILED_CHARGED:UnsupportedLanguageConstruct,0.738111
6,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.039208
7,android,2clutter019.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.331791
8,android,2clutter019.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.67951
9,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.040873
10,android,2clutter019.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.345697
11,android,2clutter019.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.350758
12,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.040142
13,android,2clutter019.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.32962
14,android,2clutter019.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.356923
15,android,2clutter019.JPG,A,photo_backward,1,1,1,SUCCESS,0.010624
16,android,2clutter019.JPG,B,fine_forward,1,1,1,SUCCESS,0.002213
17,android,2clutter019.JPG,B,photo_backward,1,1,1,SUCCESS,0.005549
18,android,2clutter019.JPG,C,fine_forward,1,1,1,SUCCESS,0.002062
19,android,2clutter019.JPG,C,photo_backward,1,1,1,SUCCESS,0.004875
20,android,2clutter019.JPG,D,fine_forward,1,1,1,SUCCESS,0.002018
21,android,2clutter019.JPG,D,photo_backward,1,1,1,SUCCESS,0.004866
22,android,2clutter036.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000424
23,android,2clutter036.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002116
24,android,2clutter036.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.13695
25,android,2clutter036.JPG,A,photo_backward,1,1,1,SUCCESS,0.00541
26,android,2clutter036.JPG,B,fine_forward,1,1,1,SUCCESS,0.002051
27,android,2clutter036.JPG,B,photo_backward,1,1,1,SUCCESS,0.004849
28,android,2clutter036.JPG,C,fine_forward,1,1,1,SUCCESS,0.002053
29,android,2clutter036.JPG,C,photo_backward,1,1,1,SUCCESS,0.004807
30,android,2clutter036.JPG,D,fine_forward,1,1,1,SUCCESS,0.00202
31,android,2clutter036.JPG,D,photo_backward,1,1,1,SUCCESS,0.004857
32,android,2clutter053.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000274
33,android,2clutter053.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002231
34,android,2clutter053.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.128991
35,android,2clutter053.JPG,A,photo_backward,1,1,1,SUCCESS,0.005588
36,android,2clutter053.JPG,B,fine_forward,1,1,1,SUCCESS,0.002176
37,android,2clutter053.JPG,B,photo_backward,1,1,1,SUCCESS,0.005081
38,android,2clutter053.JPG,C,fine_forward,1,1,1,SUCCESS,0.00214
39,android,2clutter053.JPG,C,photo_backward,1,1,1,SUCCESS,0.005055
40,android,2clutter053.JPG,D,fine_forward,1,1,1,SUCCESS,0.002134
41,android,2clutter053.JPG,D,photo_backward,1,1,1,SUCCESS,0.005154
42,android,2clutter070.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000241
43,android,2clutter070.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002501
44,android,2clutter070.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.12894
45,android,2clutter070.JPG,A,photo_backward,1,1,1,SUCCESS,0.006364
46,android,2clutter070.JPG,B,fine_forward,1,1,1,SUCCESS,0.002485
47,android,2clutter070.JPG,B,photo_backward,1,1,1,SUCCESS,0.006002
48,android,2clutter070.JPG,C,fine_forward,1,1,1,SUCCESS,0.002446
49,android,2clutter070.JPG,C,photo_backward,1,1,1,SUCCESS,0.005714
50,android,2clutter070.JPG,D,fine_forward,1,1,1,SUCCESS,0.002475
51,android,2clutter070.JPG,D,photo_backward,1,1,1,SUCCESS,0.005785
52,android,2clutter088.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000252
53,android,2clutter088.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002053
54,android,2clutter088.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.12794
55,android,2clutter088.JPG,A,photo_backward,1,1,1,SUCCESS,0.005539
56,android,2clutter088.JPG,B,fine_forward,1,1,1,SUCCESS,0.001986
57,android,2clutter088.JPG,B,photo_backward,1,1,1,SUCCESS,0.004989
58,android,2clutter088.JPG,C,fine_forward,1,1,1,SUCCESS,0.001957
59,android,2clutter088.JPG,C,photo_backward,1,1,1,SUCCESS,0.004914
60,android,2clutter088.JPG,D,fine_forward,1,1,1,SUCCESS,0.001967
61,android,2clutter088.JPG,D,photo_backward,1,1,1,SUCCESS,0.004872
62,android,2clutter105.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000266
63,android,2clutter105.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002551
