window,gaussian_id,affected_bR,bR_total,A_n,A_c,A_opportunity,D_opportunity,A_support,D_support,A_cap,D_cap,A_G0,D_G0,A_simple,D_simple,A_oac,D_oac,delta_G0,delta_simple,delta_OAC,delta_OAC_minus_delta_G0,A_low_evidence,D_low_evidence,A_OAC_above_threshold,D_OAC_above_threshold,A_OAC_topK,D_OAC_topK
W1,826,0,0.0,95.0,72.0,58.79828797830697,58.79828797830697,50,50,0,0,1.5974241528930075e-05,1.5974241490642573e-05,3.706482847863804e-05,3.70648283733508e-05,2.5183009955786903e-05,2.518300989542757e-05,-3.828750196662595e-14,-1.0528723888830055e-13,-6.0359334040248e-14,-2.2071832073622052e-14,0,0,0,0,0,0
W1,1376,0,0.0,13.0,13.0,13.0,13.0,10,10,0,0,0.00040207128152430343,0.00040207128152430343,0.0004208999278100134,0.0004208999278100134,0.00040207128152430343,0.00040207128152430343,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,1506,1,0.6422611474990845,91.0,75.0,62.34369717097056,62.34369717097056,56,56,0,0,9.26285887201965e-05,9.233752502973309e-05,0.00016408228096892357,0.00016361327251210894,0.00013263831085176672,0.0001322215259607654,-2.9106369046341327e-07,-4.6900845681463335e-07,-4.1678489100130476e-07,-1.257212005378915e-07,0,0,0,0,0,0
W1,4186,0,0.0,57.0,53.0,51.33838886090379,51.33838886090379,45,45,0,0,0.0003841217583467601,0.00038412175860205684,0.000644628019532835,0.0006446280197653156,0.0004234208429531369,0.0004234208432345528,2.5529676029451e-13,2.3248059293629053e-13,2.814158953610979e-13,2.6119135066587917e-14,0,0,0,0,0,0
W1,5605,0,0.0,89.0,81.0,64.06061130338846,64.06061130338846,56,56,0,0,0.00025241590584850875,0.00025241590584850875,0.0004372525514574692,0.0004372525514574692,0.0003449084396152435,0.0003449084396152435,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,6173,0,0.0,97.0,91.0,76.12478410618152,76.12478410618152,66,66,0,0,3.0146912783381607e-05,3.0146912783381607e-05,8.420466369056618e-05,8.420466369056618e-05,3.800120306204528e-05,3.800120306204528e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,6906,0,0.0,18.0,14.0,13.0,13.0,12,12,0,0,1.1714018485086007e-05,1.1714018586140975e-05,1.804810983165416e-05,1.8048109989216e-05,1.5159318039523067e-05,1.5159318170300085e-05,1.0105496761657687e-13,1.5756183995865002e-13,1.3077701831068315e-13,2.9722050694106286e-14,0,0,0,0,0,0
W1,7287,1,4.007772922515869,82.0,77.0,58.58035715388745,58.58973176258273,62,62,0,0,0.00025153331046770197,0.0002512627339305695,0.0011594995135965906,0.001159162751748406,0.0003456654081891671,0.00034524185532533284,-2.705765371324568e-07,-3.36761848184668e-07,-4.2355286383424133e-07,-1.5297632670178453e-07,0,0,0,0,0,0
W1,7802,0,0.0,82.0,68.0,65.3325412704024,65.3325412704024,54,54,0,0,0.00015888147148795262,0.00015888147148795262,0.00022361490593710855,0.00022361490593710855,0.00019707638430090134,0.00019707638430090134,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,8003,0,0.0,29.0,28.0,26.0,26.0,20,20,0,0,0.00047176207841277635,0.00047176207841277635,0.0005262889562494026,0.0005262889562494026,0.000518938286254054,0.000518938286254054,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,8159,0,0.0,85.0,77.0,69.70028392535266,69.70028392535266,60,60,0,0,4.6276969319526604e-05,4.627270909654437e-05,6.297133391879846e-05,6.296558133382891e-05,5.588377751175888e-05,5.58786328932415e-05,-4.2602229822363705e-09,-5.752584969546904e-09,-5.1446185173813046e-09,-8.843955351449341e-10,0,0,0,0,0,0
W1,8362,0,0.0,97.0,77.0,61.69743293547286,61.69743293547286,54,54,0,0,4.821943153947409e-05,4.821943150196915e-05,0.00016115756640977432,0.00016115756626301016,7.413018085912567e-05,7.413018080146744e-05,-3.7504938391053066e-14,-1.4676416549078142e-13,-5.765823745101234e-14,-2.0153299059959273e-14,0,0,0,0,0,0
W1,8619,0,0.0,75.0,61.0,58.24078484818453,58.24078484818453,50,50,0,0,0.00013202033706875228,0.00013202033706875228,0.0002666841417329262,0.0002666841417329262,0.00016756868753938352,0.00016756868753938352,0.0,0.0,0.0,0.0,0,0,0,0,0,0
